what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362906071957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362906072036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362906072171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362906088387
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362906089911
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362906098182
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362906182450
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362906189768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362906200605
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362906203214
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1362906207633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362906207915
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1362906229923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362906229992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362906230105
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362906238875
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1362906241107
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1362906242816
